"Owner","Username","Amount"
"r4YkgFHRX7jn61bC2vqW7Pu3adc4QVgvsu","","5"
"r49WBtncCZS4VYrfzrbbVovfPbDwSPX5qg","","5"
"r3osNS3gd9hGuLqx92BbcEJJnGbjBZX42A","","5"
"r3gGnpCA82mjFQQP7Bxk1k9sPBDSPXaPLW","","5"
"r3ZUtck35hEjjWCw7aGK5DmAwZhSPiEgyg","","5"
"r3WUEQ35UQDRXLRubq8RgvzEynwyzCxVZh","","5"
"r3CDCpzGBpPRmWxjQ1uJHovzu2wbMZQZgN","","5"
"ryATZ4KThcgHunazd2CU7hGmNWpM2vpc4","","4"
"rwpbDYyAtNBivyLEUBfGunvzV6hu4X1Sko","","4"
"rwbejqbRpcMfzT3eGy5F7so87XUs3KtsjQ","","4"
"rwV3fypZy2piMTMb6uzWEX8Vk5tKSpWgrQ","","4"
"rwNrjrSzanE8eFkoiNSJXbF8qmtsYFPgkm","","4"
"rwJw3ysyVdGAAn3e32jSV9jscoVu9e5N4s","","4"
"rspPJpMz1aEBBsyE3KPFB5FpMV3wGUs2SF","","4"
"rsJx3bUKZhLXq975h2HPZmQpnTMiCoE5q3","","4"
"rsJB77kGviJg6TqVhPdpCwLrTMRw4a9juQ","","4"
"rs23zKKor2MT6174jK3G8vFswCDpeUBU6a","","4"
"rpQw1UCo4KCexFQLYCTTg8P3zzLfAn9rdg","","4"
"rnznV5RTQbmW63qmTQfnepwscNyndFSbm7","","4"
"rnZZ2Bsf3duJ74LrTKmBRNr5nZruSsJtog","","4"
"rnRf9nDhCfBzeZ3gykBestUp5mr4KZ9KLE","","4"
"rkGQTQ4vw5t8wnPBo9bxZHRuB7v3cKjcv","","4"
"rhvS3kXP4xuPsNbHoXzudmHRuqQnXVgKTT","","4"
"rhHu3Cx8R7GJ3EYUDSjqY7Snnvzg6VvR48","","4"
"rhH6szbH4QdATcyjvvnk9sF6z7MmHayvCg","","4"
"rfUc2n4PYcJfmcarkHkxHLvfMpZPVKTmAS","","4"
"rfS5BMQw4m9shtPCLZPjJvDH5j4aB9t57u","","4"
"rfJ1kSvYwDC1gv8DnYPhCpH4SkLQRDF4bY","","4"
"rfC4cDQfAmkPBFJ3N1dArsPA6WDdgv7noy","","4"
"raYwYRHt3r3gLDJEsehEFH4Le4GAskTJvr","","4"
"raR4EbWsxzk1HhtqR2q9HuxAAAsSsumJbT","","4"
"raNF7b7RhTNULVmp7BMzSjWaGBZHfvZMWS","","4"
